Finished epoch:1 | Loss : 0.3294
Finished epoch:2 | Loss : 0.2537
Finished epoch:3 | Loss : 0.2455
Finished epoch:4 | Loss : 0.2317
Finished epoch:5 | Loss : 0.2273
Finished epoch:6 | Loss : 0.2235
Finished epoch:7 | Loss : 0.2174
Finished epoch:8 | Loss : 0.2133
Finished epoch:9 | Loss : 0.2117
Finished epoch:10 | Loss : 0.2144
Finished epoch:11 | Loss : 0.2118
Finished epoch:12 | Loss : 0.2093
Finished epoch:13 | Loss : 0.2079
Finished epoch:14 | Loss : 0.2052
Finished epoch:15 | Loss : 0.2051
Finished epoch:16 | Loss : 0.2077
Finished epoch:17 | Loss : 0.2043
Finished epoch:18 | Loss : 0.2020
Finished epoch:19 | Loss : 0.2020
Finished epoch:20 | Loss : 0.2017
Finished epoch:21 | Loss : 0.2010
Finished epoch:22 | Loss : 0.2003
Finished epoch:23 | Loss : 0.2023
Finished epoch:24 | Loss : 0.2014
Finished epoch:25 | Loss : 0.2006
Finished epoch:26 | Loss : 0.1975
Finished epoch:27 | Loss : 0.1979
Finished epoch:28 | Loss : 0.1976
Finished epoch:29 | Loss : 0.1981
Finished epoch:30 | Loss : 0.1976
Finished epoch:31 | Loss : 0.1974
Finished epoch:32 | Loss : 0.1959
Finished epoch:33 | Loss : 0.1950
Finished epoch:34 | Loss : 0.1978
Finished epoch:35 | Loss : 0.1977
Finished epoch:36 | Loss : 0.1952
Finished epoch:37 | Loss : 0.1964
Finished epoch:38 | Loss : 0.1985
Finished epoch:39 | Loss : 0.1970
Finished epoch:40 | Loss : 0.1937
Finished epoch:41 | Loss : 0.1949
Finished epoch:42 | Loss : 0.1924
Finished epoch:43 | Loss : 0.1951
Finished epoch:44 | Loss : 0.1949
Finished epoch:45 | Loss : 0.1945
Finished epoch:46 | Loss : 0.1939
Finished epoch:47 | Loss : 0.1947
Finished epoch:48 | Loss : 0.1930
Finished epoch:49 | Loss : 0.1949
Finished epoch:50 | Loss : 0.1926
Finished epoch:51 | Loss : 0.1960
Finished epoch:52 | Loss : 0.1917
Finished epoch:53 | Loss : 0.1901
Finished epoch:54 | Loss : 0.1929
Finished epoch:55 | Loss : 0.1907
Finished epoch:56 | Loss : 0.1908
Finished epoch:57 | Loss : 0.1913
Finished epoch:58 | Loss : 0.1924
Finished epoch:59 | Loss : 0.1897
Finished epoch:60 | Loss : 0.1904
Finished epoch:61 | Loss : 0.1914
Finished epoch:62 | Loss : 0.1911
Finished epoch:63 | Loss : 0.1915
Finished epoch:64 | Loss : 0.1909
Finished epoch:65 | Loss : 0.1904
Finished epoch:66 | Loss : 0.1900
Finished epoch:67 | Loss : 0.1912
Finished epoch:68 | Loss : 0.1898
Finished epoch:69 | Loss : 0.1875
Finished epoch:70 | Loss : 0.1899
Finished epoch:71 | Loss : 0.1891
Finished epoch:72 | Loss : 0.1878
Finished epoch:73 | Loss : 0.1906
Finished epoch:74 | Loss : 0.1880
Finished epoch:75 | Loss : 0.1883
Finished epoch:76 | Loss : 0.1891
Finished epoch:77 | Loss : 0.1875
Finished epoch:78 | Loss : 0.1892
Finished epoch:79 | Loss : 0.1867
Finished epoch:80 | Loss : 0.1876
Finished epoch:81 | Loss : 0.1875
Finished epoch:82 | Loss : 0.1858
Finished epoch:83 | Loss : 0.1864
Finished epoch:84 | Loss : 0.1865
Finished epoch:85 | Loss : 0.1858
Finished epoch:86 | Loss : 0.1861
Finished epoch:87 | Loss : 0.1877
Finished epoch:88 | Loss : 0.1844
Finished epoch:89 | Loss : 0.1853
Finished epoch:90 | Loss : 0.1848
Finished epoch:91 | Loss : 0.1850
Finished epoch:92 | Loss : 0.1849
Finished epoch:93 | Loss : 0.1859
Finished epoch:94 | Loss : 0.1857
Finished epoch:95 | Loss : 0.1839
Finished epoch:96 | Loss : 0.1830
Finished epoch:97 | Loss : 0.1834
Finished epoch:98 | Loss : 0.1855
Finished epoch:99 | Loss : 0.1850
Finished epoch:100 | Loss : 0.1844
