Finished epoch:1 | Loss : 0.3285
Finished epoch:2 | Loss : 0.2566
Finished epoch:3 | Loss : 0.2428
Finished epoch:4 | Loss : 0.2352
Finished epoch:5 | Loss : 0.2294
Finished epoch:6 | Loss : 0.2212
Finished epoch:7 | Loss : 0.2201
Finished epoch:8 | Loss : 0.2155
Finished epoch:9 | Loss : 0.2132
Finished epoch:10 | Loss : 0.2129
Finished epoch:11 | Loss : 0.2109
Finished epoch:12 | Loss : 0.2069
Finished epoch:13 | Loss : 0.2078
Finished epoch:14 | Loss : 0.2068
Finished epoch:15 | Loss : 0.2077
Finished epoch:16 | Loss : 0.2031
Finished epoch:17 | Loss : 0.2049
Finished epoch:18 | Loss : 0.2055
Finished epoch:19 | Loss : 0.2029
Finished epoch:20 | Loss : 0.2006
Finished epoch:21 | Loss : 0.2008
Finished epoch:22 | Loss : 0.2043
Finished epoch:23 | Loss : 0.2036
Finished epoch:24 | Loss : 0.2008
Finished epoch:25 | Loss : 0.2000
Finished epoch:26 | Loss : 0.1987
Finished epoch:27 | Loss : 0.1991
Finished epoch:28 | Loss : 0.2015
Finished epoch:29 | Loss : 0.1997
Finished epoch:30 | Loss : 0.1970
Finished epoch:31 | Loss : 0.1972
Finished epoch:32 | Loss : 0.1967
Finished epoch:33 | Loss : 0.1972
Finished epoch:34 | Loss : 0.1970
Finished epoch:35 | Loss : 0.1987
Finished epoch:36 | Loss : 0.1986
Finished epoch:37 | Loss : 0.1972
Finished epoch:38 | Loss : 0.1944
Finished epoch:39 | Loss : 0.1957
Finished epoch:40 | Loss : 0.1948
Finished epoch:41 | Loss : 0.1960
Finished epoch:42 | Loss : 0.1951
Finished epoch:43 | Loss : 0.1957
Finished epoch:44 | Loss : 0.1937
Finished epoch:45 | Loss : 0.1933
Finished epoch:46 | Loss : 0.1958
Finished epoch:47 | Loss : 0.1963
Finished epoch:48 | Loss : 0.1936
Finished epoch:49 | Loss : 0.1952
Finished epoch:50 | Loss : 0.1967
Finished epoch:51 | Loss : 0.1962
Finished epoch:52 | Loss : 0.1928
Finished epoch:53 | Loss : 0.1935
Finished epoch:54 | Loss : 0.1917
Finished epoch:55 | Loss : 0.1945
Finished epoch:56 | Loss : 0.1946
Finished epoch:57 | Loss : 0.1941
Finished epoch:58 | Loss : 0.1931
Finished epoch:59 | Loss : 0.1948
Finished epoch:60 | Loss : 0.1920
Finished epoch:61 | Loss : 0.1942
Finished epoch:62 | Loss : 0.1929
Finished epoch:63 | Loss : 0.1950
Finished epoch:64 | Loss : 0.1916
Finished epoch:65 | Loss : 0.1895
Finished epoch:66 | Loss : 0.1930
Finished epoch:67 | Loss : 0.1901
Finished epoch:68 | Loss : 0.1903
Finished epoch:69 | Loss : 0.1912
Finished epoch:70 | Loss : 0.1918
Finished epoch:71 | Loss : 0.1900
Finished epoch:72 | Loss : 0.1905
Finished epoch:73 | Loss : 0.1912
Finished epoch:74 | Loss : 0.1916
Finished epoch:75 | Loss : 0.1914
Finished epoch:76 | Loss : 0.1908
Finished epoch:77 | Loss : 0.1895
Finished epoch:78 | Loss : 0.1905
Finished epoch:79 | Loss : 0.1911
Finished epoch:80 | Loss : 0.1901
Finished epoch:81 | Loss : 0.1876
Finished epoch:82 | Loss : 0.1903
Finished epoch:83 | Loss : 0.1887
Finished epoch:84 | Loss : 0.1880
Finished epoch:85 | Loss : 0.1910
Finished epoch:86 | Loss : 0.1886
Finished epoch:87 | Loss : 0.1891
Finished epoch:88 | Loss : 0.1889
Finished epoch:89 | Loss : 0.1881
Finished epoch:90 | Loss : 0.1901
Finished epoch:91 | Loss : 0.1869
Finished epoch:92 | Loss : 0.1887
Finished epoch:93 | Loss : 0.1881
Finished epoch:94 | Loss : 0.1857
Finished epoch:95 | Loss : 0.1873
Finished epoch:96 | Loss : 0.1875
Finished epoch:97 | Loss : 0.1863
Finished epoch:98 | Loss : 0.1868
Finished epoch:99 | Loss : 0.1879
Finished epoch:100 | Loss : 0.1844
