Finished epoch:1 | Loss : 0.3237
Finished epoch:2 | Loss : 0.2516
Finished epoch:3 | Loss : 0.2411
Finished epoch:4 | Loss : 0.2340
Finished epoch:5 | Loss : 0.2275
Finished epoch:6 | Loss : 0.2224
Finished epoch:7 | Loss : 0.2166
Finished epoch:8 | Loss : 0.2132
Finished epoch:9 | Loss : 0.2121
Finished epoch:10 | Loss : 0.2117
Finished epoch:11 | Loss : 0.2110
Finished epoch:12 | Loss : 0.2072
Finished epoch:13 | Loss : 0.2059
Finished epoch:14 | Loss : 0.2053
Finished epoch:15 | Loss : 0.2049
Finished epoch:16 | Loss : 0.2042
Finished epoch:17 | Loss : 0.2059
Finished epoch:18 | Loss : 0.2040
Finished epoch:19 | Loss : 0.2037
Finished epoch:20 | Loss : 0.2002
Finished epoch:21 | Loss : 0.2013
Finished epoch:22 | Loss : 0.2009
Finished epoch:23 | Loss : 0.1999
Finished epoch:24 | Loss : 0.2007
Finished epoch:25 | Loss : 0.1995
Finished epoch:26 | Loss : 0.1987
Finished epoch:27 | Loss : 0.1982
Finished epoch:28 | Loss : 0.1999
Finished epoch:29 | Loss : 0.1997
Finished epoch:30 | Loss : 0.1982
Finished epoch:31 | Loss : 0.1983
Finished epoch:32 | Loss : 0.2002
Finished epoch:33 | Loss : 0.1999
Finished epoch:34 | Loss : 0.1963
Finished epoch:35 | Loss : 0.1971
Finished epoch:36 | Loss : 0.1966
Finished epoch:37 | Loss : 0.1965
Finished epoch:38 | Loss : 0.1973
Finished epoch:39 | Loss : 0.1966
Finished epoch:40 | Loss : 0.1964
Finished epoch:41 | Loss : 0.1959
Finished epoch:42 | Loss : 0.1974
Finished epoch:43 | Loss : 0.1969
Finished epoch:44 | Loss : 0.1953
Finished epoch:45 | Loss : 0.1982
Finished epoch:46 | Loss : 0.1953
Finished epoch:47 | Loss : 0.1923
Finished epoch:48 | Loss : 0.1953
Finished epoch:49 | Loss : 0.1930
Finished epoch:50 | Loss : 0.1932
Finished epoch:51 | Loss : 0.1936
Finished epoch:52 | Loss : 0.1946
Finished epoch:53 | Loss : 0.1936
Finished epoch:54 | Loss : 0.1928
Finished epoch:55 | Loss : 0.1938
Finished epoch:56 | Loss : 0.1951
Finished epoch:57 | Loss : 0.1939
Finished epoch:58 | Loss : 0.1934
Finished epoch:59 | Loss : 0.1936
Finished epoch:60 | Loss : 0.1916
Finished epoch:61 | Loss : 0.1951
Finished epoch:62 | Loss : 0.1925
Finished epoch:63 | Loss : 0.1902
Finished epoch:64 | Loss : 0.1928
Finished epoch:65 | Loss : 0.1930
Finished epoch:66 | Loss : 0.1903
Finished epoch:67 | Loss : 0.1926
Finished epoch:68 | Loss : 0.1927
Finished epoch:69 | Loss : 0.1923
Finished epoch:70 | Loss : 0.1920
Finished epoch:71 | Loss : 0.1904
Finished epoch:72 | Loss : 0.1913
Finished epoch:73 | Loss : 0.1911
Finished epoch:74 | Loss : 0.1900
Finished epoch:75 | Loss : 0.1907
Finished epoch:76 | Loss : 0.1904
Finished epoch:77 | Loss : 0.1892
Finished epoch:78 | Loss : 0.1896
Finished epoch:79 | Loss : 0.1898
Finished epoch:80 | Loss : 0.1899
Finished epoch:81 | Loss : 0.1892
Finished epoch:82 | Loss : 0.1888
Finished epoch:83 | Loss : 0.1888
Finished epoch:84 | Loss : 0.1892
Finished epoch:85 | Loss : 0.1883
Finished epoch:86 | Loss : 0.1899
Finished epoch:87 | Loss : 0.1886
Finished epoch:88 | Loss : 0.1894
Finished epoch:89 | Loss : 0.1875
Finished epoch:90 | Loss : 0.1879
Finished epoch:91 | Loss : 0.1871
Finished epoch:92 | Loss : 0.1886
Finished epoch:93 | Loss : 0.1885
Finished epoch:94 | Loss : 0.1885
Finished epoch:95 | Loss : 0.1874
Finished epoch:96 | Loss : 0.1908
Finished epoch:97 | Loss : 0.1861
Finished epoch:98 | Loss : 0.1897
Finished epoch:99 | Loss : 0.1888
Finished epoch:100 | Loss : 0.1854
